Spectrum,Weighted_Mean_Age,Bootstrap_Uncertainty
sn2005ke-20051127.27-fast_snid,3.87,0.45
sn1995bd-19951225.27-fast_snid,-7.13,0.30
sn2003gn-20030729.37-fast_snid,-1.98,0.19
sn2001V-20010421.17-fast_snid,33.86,0.56
sn2007ax-20070407.16-fast_snid,19.49,0.95
sn2006ke-20061027.46-fast_snid,4.30,0.86
sn2002bo-20020508.16-fast_snid,37.92,0.58
sn2004at-20040327.33-fast_snid,-1.99,0.16
sn2002jy-20030126.10-fast_snid,31.91,0.43
sn1999aa-19990323.19-fast_snid,32.13,0.48
sn2000dk-20000921.27-fast_snid,-1.94,0.17
sn2003ic-20030921.36-fast_snid,-1.12,0.16
sn1998aq-19980518.20-fast_snid,29.13,0.68
sn2007ob-20071107.14-fast_snid,7.45,0.24
sn2002de-20020603.33-fast_snid,-2.12,0.20
sn2003iv-20031022.38-fast_snid,-1.28,0.15
sn2008at-20080305.30-fast_snid,4.09,0.20
sn1998bu-19990117.46-fast_snid,199.86,11.08
sn1998ab-19980501.27-fast_snid,29.58,0.57
sn2002bo-20020506.18-fast_snid,38.29,0.59
sn1996C-19960217.48-fast_snid,-1.14,0.15
sn2008Z-20080311.28-fast_snid,26.79,0.97
sn2006lf-20061113.36-fast_snid,2.89,0.17
sn2000cn-20000604.38-fast_snid,-1.87,0.18
sn2006N-20060124.26-fast_snid,-1.49,0.16
sn2003af-20030329.38-mmt_snid,36.62,0.64
sn2006cj-20060521.29-fast_snid,-1.93,0.31
sn1999dq-19990905.45-fast_snid,-6.60,0.35
sn2002cs-20020508.47-fast_snid,-2.11,0.17
sn2002bo-20020318.27-fast_snid,-0.75,0.16
sn2007ap-20070315.45-fast_snid,2.87,0.18
sn2002fb-20020907.51-fast_snid,-1.54,0.16
sn1995al-19951127.52-fast_snid,21.67,0.60
sn2006gt-20060926.38-fast_snid,0.17,0.17
sn2003du-20030528.29-fast_snid,28.59,0.66
sn2006gr-20061123.16-fast_snid,35.36,0.58
sn2007bc-20070414.27-fast_snid,1.13,0.16
sn2007cg-20070515.22-fast_snid,3.95,0.21
sn2003ae-20030207.38-fast_snid,8.18,0.24
sn1999aa-19990415.16-fast_snid,35.68,0.55
sn2003du-20030526.27-fast_snid,26.33,0.77
sn1999cc-19990612.32-fast_snid,30.08,0.35
sn1994D-19940516.18-fast_snid,44.72,1.12
sn2001V-20010325.21-fast_snid,23.87,0.72
sn1999cm-19990608.26-fast_snid,-1.90,0.17
sn2002fk-20021112.36-fast_snid,34.82,0.46
sn2007le-20071111.21-fast_snid,19.75,0.61
sn1999gh-19991213.51-fast_snid,28.68,0.55
sn2001cp-20010623.44-fast_snid,-1.94,0.16
sn2006cj-20060522.29-fast_snid,-0.89,0.28
sn2000cm-20000605.16-fast_snid,22.15,0.63
sn2001fe-20011207.49-fast_snid,26.93,0.74
sn2003iv-20031021.38-fast_snid,-1.37,0.15
sn2001eh-20010917.39-fast_snid,-1.72,0.16
sn2006le-20061214.30-fast_snid,32.82,0.52
sn1996bk-19961015.10-fast_snid,4.17,0.22
sn2001ah-20010525.25-mmt_snid,34.53,0.43
sn2007af-20070325.35-fast_snid,12.48,0.33
sn2003fd-20030628.18-fast_snid,20.18,1.49
sn1997do-19971122.45-fast_snid,6.28,0.20
sn1997bp-19970512.22-fast_snid,34.69,0.58
sn1998dm-19981023.36-fast_snid,37.97,0.53
sn1998aq-19980418.29-fast_snid,-1.79,0.29
sn2001ic-20011214.09-fast_snid,11.12,0.21
sn1994ae-19950107.37-fast_snid,35.80,0.47
sn2001ay-20010524.33-mmt_snid,30.58,0.41
sn1999cf-19990607.17-fast_snid,1.64,0.19
sn2000fa-20010126.19-mmt_snid,34.83,0.64
sn2007le-20071113.14-fast_snid,23.04,0.65
sn1999ac-19990324.51-fast_snid,10.50,0.29
sn2002jy-20030102.12-fast_snid,0.01,0.16
sn2000E-20000602.45-fast_snid,112.02,5.48
sn2000cn-20000603.37-fast_snid,-1.58,0.17
sn1999ac-19990421.46-fast_snid,30.75,0.41
sn1993ae-19931213.11-mmt_snid,37.46,0.56
sn2003fa-20030702.29-fast_snid,22.94,1.14
sn1998bp-19980503.45-fast_snid,0.22,0.17
sn1997do-19971103.43-fast_snid,-1.72,0.16
sn1995ac-19951123.07-mmt_snid,37.52,0.57
sn1998dk-19980918.39-fast_snid,19.12,0.52
sn1999bt-19990416.43-fast_snid,23.79,0.92
sn2003M-20030127.47-fast_snid,-1.00,-1.00
sn2001az-20010522.33-fast_snid,22.63,1.24
sn2003iv-20031025.37-fast_snid,-0.21,0.16
sn2005hk-20051102.22-fast_snid,-7.63,0.61
sn2002bo-20020421.13-fast_snid,33.41,0.42
sn2003iu-20031029.29-fast_snid,21.61,0.87
sn2005hk-20051104.26-fast_snid,-5.20,0.68
sn1999by-19990514.15-fast_snid,3.97,0.49
sn2002he-20021111.52-fast_snid,-0.46,0.18
sn2003cg-20030408.17-fast_snid,5.78,0.19
sn2007sr-20080309.36-fast_snid,49.45,1.98
sn2001C-20010222.25-fast_snid,36.89,0.57
sn2003fa-20030624.29-fast_snid,0.50,0.16
sn2004ef-20040917.27-fast_snid,-0.87,0.17
sn2001V-20010314.43-fast_snid,8.03,0.17
sn2006N-20060206.32-fast_snid,16.12,0.52
sn2002fk-20021031.32-fast_snid,31.77,0.39
sn2000K-20000229.32-fast_snid,8.59,0.25
sn2007ao-20070320.34-ldss3_snid,16.23,1.34
sn1999ce-19990518.24-fast_snid,0.22,0.39
sn2003iu-20031024.33-fast_snid,12.90,0.97
sn1999dq-19991014.32-fast_snid,31.46,0.37
sn2003iu-20031030.29-fast_snid,23.86,1.03
sn2002fk-20020929.44-fast_snid,-2.00,0.16
snf20080522-011-20080606.38-fast_snid,0.49,0.16
sn1999ef-19991013.29-fast_snid,3.99,0.20
sn2002bo-20020407.30-fast_snid,18.52,0.53
sn2001en-20011018.35-fast_snid,5.54,0.20
sn1998de-19980801.41-fast_snid,0.77,0.29
sn2007bm-20070619.18-fast_snid,37.83,0.53
sn2001fe-20011214.48-fast_snid,32.57,0.58
sn2005hf-20051103.26-fast_snid,27.99,0.74
sn1997do-19971205.30-fast_snid,25.79,0.56
sn2007af-20070315.39-fast_snid,-1.03,0.15
sn2001bp-20010524.39-mmt_snid,1.79,0.18
sn1997bz-19970502.15-mmt_snid,-0.93,1.27
sn2008ar-20080625.00-ldss3_snid,60.24,3.13
sn2007af-20070524.30-fast_snid,48.15,1.13
sn2003ep-20030626.44-fast_snid,31.49,0.71
sn1998dx-19980929.13-fast_snid,25.35,0.84
sn1999ac-19990415.45-fast_snid,29.24,0.38
sn1994D-19940430.32-fast_snid,35.93,0.57
sn2005cc-20050612.38-fast_snid,27.51,0.48
sn1998aq-19980715.21-fast_snid,62.51,1.78
sn1996ai-19960625.26-fast_snid,0.32,0.17
sn2004at-20040415.19-fast_snid,24.17,0.66
sn2005A-20050107.25-fast_snid,-1.61,0.81
sn2005M-20050301.32-fast_snid,30.25,0.52
sn1998aq-19980529.19-fast_snid,31.87,0.39
sn2001fe-20011116.51-fast_snid,-1.79,0.18
sn2003du-20030609.29-fast_snid,32.11,0.40
sn1997br-19970503.29-mmt_snid,18.50,0.54
sn1999by-19990507.14-fast_snid,-0.00,0.16
sn2006D-20060126.51-fast_snid,-1.10,0.18
sn2003af-20030209.39-fast_snid,0.33,0.18
sn2006le-20061226.28-fast_snid,35.78,0.63
sn2004L-20040221.36-fast_snid,29.15,0.41
sn2005hk-20051103.22-fast_snid,-5.72,0.73
sn2006cz-20060617.24-fast_snid,-1.18,0.22
sn2006mo-20061113.21-fast_snid,2.83,0.16
sn1999by-19990609.17-fast_snid,32.01,0.63
sn2001G-20010115.32-fast_snid,-2.20,0.20
sn2001C-20010114.20-fast_snid,20.51,0.83
sn1994M-19940515.27-mmt_snid,17.59,0.47
sn2003cg-20030407.19-fast_snid,3.60,0.18
sn2002jy-20030103.12-fast_snid,0.86,0.17
sn2006H-20060203.12-fast_snid,27.45,0.42
sn1999aa-19990417.16-fast_snid,36.56,0.56
sn2001C-20010328.18-fast_snid,43.28,1.71
sn1998bp-19980529.42-fast_snid,29.16,0.38
sn1998co-19980716.41-fast_snid,27.96,0.40
sn2001ep-20011120.48-fast_snid,30.66,0.37
sn2006le-20061222.27-fast_snid,36.68,0.62
sn2002bo-20020422.18-fast_snid,33.38,0.44
sn1995Y-19950916.49-fast_snid,30.29,1.84
sn2007sw-20080129.50-fast_snid,30.87,0.40
sn1999ek-19991103.40-fast_snid,-0.31,0.15
sn2004ef-20040912.28-fast_snid,-2.23,0.20
sn2002dj-20020705.18-fast_snid,9.91,0.18
sn2005ke-20051226.21-fast_snid,32.00,0.58
sn2001cp-20010624.40-fast_snid,-2.03,0.16
sn1994D-19940316.37-fast_snid,-1.95,0.17
sn1998dk-19980930.35-fast_snid,32.60,0.42
sn1998bu-19980620.14-fast_snid,31.42,0.46
sn2006lf-20061111.36-fast_snid,0.38,0.17
sn1998bu-19981114.51-fast_snid,193.35,13.34
sn2000cx-20000902.36-fast_snid,35.34,0.63
sn2002bo-20020310.26-fast_snid,-2.29,0.50
sn2007af-20070416.35-fast_snid,31.65,0.40
sn2005hc-20051031.29-fast_snid,2.11,0.19
sn2000cm-20000604.16-fast_snid,21.25,0.63
sn2007is-20070919.14-fast_snid,-2.09,0.17
sn2002de-20020604.23-fast_snid,-1.84,0.21
sn2004L-20040220.29-fast_snid,28.53,0.42
sn2000dk-20000926.37-fast_snid,-1.10,0.16
sn2005hk-20051204.15-fast_snid,29.24,0.39
sn2003hw-20030919.45-fast_snid,24.84,1.19
sn2007bd-20070425.17-fast_snid,5.91,0.18
sn1999X-19990223.27-fast_snid,31.47,0.38
sn2001V-20010223.33-fast_snid,-6.37,0.34
sn2008A-20080112.10-fast_snid,1.14,0.91
sn2007sr-20080101.49-fast_snid,20.84,0.59
sn1998aq-19980617.16-fast_snid,39.57,0.65
sn2001ep-20011017.42-fast_snid,-0.89,0.16
sn2007kk-20071019.39-fast_snid,9.11,0.24
sn2007hj-20070918.35-fast_snid,26.32,0.48
sn1998dx-19980924.16-fast_snid,7.13,0.70
sn2001fe-20011217.43-fast_snid,32.55,0.51
sn2002jm-20021212.48-fast_snid,20.09,1.63
sn1998dx-19980922.12-fast_snid,1.52,0.19
sn1998dh-19980910.37-fast_snid,33.42,0.40
sn1994D-19940315.36-mmt_snid,-1.97,0.18
sn2007ax-20070416.17-fast_snid,21.14,0.98
sn1995al-19951126.46-fast_snid,19.17,0.54
sn2007hj-20070912.34-fast_snid,5.26,0.24
sn1996ai-19960620.17-fast_snid,-1.36,0.15
sn2005M-20050201.30-fast_snid,-3.37,0.32
sn1994T-19940616.23-fast_snid,9.01,0.20
sn2001gb-20011213.50-fast_snid,30.77,0.51
sn2004ca-20040610.46-fast_snid,-2.23,0.17
sn2007ax-20070418.19-fast_snid,20.69,0.98
sn1995E-19950305.17-fast_snid,1.26,0.16
sn2007le-20071015.28-fast_snid,-2.80,0.17
sn2002kf-20030129.21-fast_snid,30.96,0.37
sn1999by-19990519.14-fast_snid,19.80,1.14
sn1998ab-19980528.24-fast_snid,33.77,0.40
sn2002cx-20020517.23-fast_snid,-5.93,0.25
sn1998es-19981125.22-fast_snid,-1.26,0.18
sn2005cf-20050711.20-fast_snid,31.46,0.40
sn2002cd-20020504.47-fast_snid,14.25,0.18
sn2002bf-20020322.33-fast_snid,17.03,0.36
sn2003ch-20030402.03-ldss2_snid,0.99,0.17
sn2001ep-20011023.45-fast_snid,2.81,0.18
sn2005eq-20051028.34-fast_snid,23.80,0.95
sn1999ac-19990507.38-fast_snid,35.13,0.50
sn2004at-20040320.42-fast_snid,-2.67,0.17
sn1998bu-19980517.15-fast_snid,-2.05,0.16
sn2004as-20040319.28-fast_snid,-1.33,0.18
sn1995ak-19951118.33-fast_snid,32.03,0.54
sn2007B-20070109.10-fast_snid,-2.10,0.16
sn2002hd-20021109.51-fast_snid,27.41,0.66
sn2003kf-20031128.33-imacs_snid,-2.27,0.21
snf20080522-000-20080608.20-fast_snid,-0.03,0.27
sn1999ac-19990323.51-fast_snid,7.61,0.22
sn2002jy-20030111.08-fast_snid,19.52,0.84
sn1997br-19970512.25-fast_snid,31.28,0.47
sn1998bu-19980530.17-fast_snid,12.30,0.41
sn2007S-20070219.32-fast_snid,0.07,0.17
sn2004fu-20041110.17-fast_snid,-2.48,0.18
sn2003kf-20040119.26-fast_snid,36.29,0.62
sn2006cp-20060602.16-fast_snid,-2.23,0.18
sn2007qe-20071203.12-fast_snid,3.91,0.21
sn1994ae-19941207.55-mmt_snid,1.85,0.17
sn2001bf-20010525.47-mmt_snid,7.86,0.37
sn2005hk-20051105.22-fast_snid,-4.87,0.63
sn1999aa-19990325.12-fast_snid,32.34,0.43
sn2004as-20040330.24-fast_snid,10.07,0.29
sn1999be-19990412.17-fast_snid,32.88,0.43
sn2006hb-20061003.51-fast_snid,14.90,0.50
sn2002bo-20020420.17-fast_snid,33.63,0.44
sn2001gc-20011206.33-fast_snid,3.94,0.25
sn2003W-20030131.39-fast_snid,-4.46,0.23
sn2004ef-20040910.27-fast_snid,-2.50,0.20
sn2003fd-20030705.23-fast_snid,29.97,0.92
sn1994ae-19950224.33-fast_snid,43.76,1.31
sn2003cg-20030402.33-fast_snid,-0.78,0.16
snf20080514-002-20080529.25-fast_snid,-0.87,0.16
sn1997bq-19970410.16-fast_snid,-0.98,0.18
sn2006B-20060109.08-fast_snid,15.59,0.36
sn2005hc-20051030.32-fast_snid,0.89,0.18
sn2006S-20060129.51-fast_snid,-1.86,0.18
sn2000cp-20000623.29-fast_snid,-0.91,0.17
sn2005am-20050411.14-fast_snid,32.98,0.47
sn2003ch-20030331.15-fast_snid,-0.54,0.17
sn1999gh-20000205.33-fast_snid,47.47,1.37
sn2006X-20060224.36-fast_snid,2.61,0.27
sn1998ab-19980430.26-fast_snid,27.64,0.53
sn2007F-20070121.55-fast_snid,-1.61,0.18
sn1997bp-19970411.30-fast_snid,-0.74,0.18
sn1999dq-19991018.49-fast_snid,29.73,0.40
sn2003kd-20031129.26-fast_snid,-0.98,0.16
sn2001ie-20020107.54-fast_snid,31.60,0.37
sn2003ar-20030222.51-fast_snid,24.47,0.52
sn1996C-19960223.44-mmt_snid,2.68,0.18
sn1998an-19980418.17-fast_snid,0.76,0.16
sn2007af-20070319.42-fast_snid,0.66,0.16
sn1998aq-19980503.24-fast_snid,-0.73,0.16
sn2007bj-20070519.39-fast_snid,33.38,0.55
sn2003ep-20030703.38-mmt_snid,47.44,1.06
sn1999gp-20000227.12-fast_snid,34.76,0.50
sn2007B-20070110.10-fast_snid,-1.66,0.15
sn2003ai-20030210.40-fast_snid,-1.42,0.17
sn2004as-20040314.32-fast_snid,-1.73,0.18
sn2007F-20070114.49-fast_snid,-2.97,0.19
sn2007co-20070612.35-fast_snid,-1.57,0.17
sn1997bp-19970610.20-fast_snid,35.09,1.13
sn1997cn-19970608.29-fast_snid,23.62,0.83
sn1999dq-19990918.45-fast_snid,-0.99,0.15
sn2005ej-20050928.10-fast_snid,0.46,0.16
sn1996X-19960425.29-fast_snid,3.90,0.18
sn2001N-20010217.39-fast_snid,28.67,0.39
sn2006ac-20060304.54-fast_snid,21.29,0.63
sn1997by-19970509.24-fast_snid,4.01,0.18
sn2007fc-20070711.47-fast_snid,3.93,0.28
sn2002dl-20020618.44-fast_snid,-1.69,0.17
sn2007ca-20070512.27-fast_snid,-0.28,0.16
sn2008C-20080105.27-fast_snid,1.20,0.16
sn2003du-20030428.24-fast_snid,-1.99,0.17
sn2005mz-20060121.13-fast_snid,26.22,0.48
sn1995ac-19950927.31-fast_snid,-7.18,0.33
sn2003it-20031019.18-fast_snid,-1.91,0.16
sn1999gd-20000102.39-fast_snid,30.24,0.40
sn2005bc-20050403.33-fast_snid,-1.41,0.18
sn2003iu-20031101.23-fast_snid,22.22,0.74
sn1995ak-19960115.17-fast_snid,46.49,1.00
sn2008A-20080106.11-fast_snid,-5.24,0.57
sn2000cn-20000605.37-fast_snid,-1.77,0.16
sn2007fb-20070716.44-fast_snid,10.26,0.26
sn1999ac-19990322.51-fast_snid,5.36,0.19
sn2003bt-20030311.27-fast_snid,16.18,0.66
sn1994ae-19941130.49-fast_snid,-1.08,0.17
sn2007bm-20070608.16-fast_snid,32.65,0.40
sn2001V-20010219.40-fast_snid,-5.28,0.39
sn2004fu-20041111.17-fast_snid,-2.36,0.19
sn2003hu-20030919.19-fast_snid,-0.80,0.26
sn2001E-20010131.46-fast_snid,13.77,0.17
sn2002de-20020612.29-fast_snid,-0.52,0.17
sn2004as-20040327.35-fast_snid,3.15,0.20
sn1997do-19971124.45-fast_snid,10.96,0.21
sn1999gp-20000212.11-fast_snid,31.52,0.37
sn2007S-20070212.33-fast_snid,-1.03,0.18
sn1996bl-19961018.18-fast_snid,-0.85,0.15
sn1998V-19980319.51-fast_snid,-1.40,0.15
sn2007ss-20071230.51-fast_snid,12.96,0.35
sn2002fb-20020912.44-fast_snid,-2.84,0.23
sn2001N-20010201.37-fast_snid,12.91,0.35
sn2001F-20010114.54-fast_snid,32.05,0.44
sn1998bu-19980516.15-fast_snid,-2.12,0.16
sn2001C-20010325.19-fast_snid,42.82,1.57
sn2006gt-20060927.37-fast_snid,0.38,0.19
sn2005cf-20050613.29-fast_snid,-2.04,0.18
sn2003W-20030203.33-fast_snid,-1.79,0.21
sn1994D-19940517.17-fast_snid,44.91,1.25
sn2000B-20000128.13-fast_snid,5.95,0.22
sn2007A-20070110.14-fast_snid,-1.54,0.16
sn1999by-19990518.14-fast_snid,17.33,1.38
sn1998es-19981122.26-fast_snid,-1.53,0.23
sn2006le-20061212.30-fast_snid,31.87,0.47
sn2002bo-20020503.18-fast_snid,36.20,0.52
sn2003kf-20031130.40-fast_snid,-2.22,0.18
sn2007af-20070423.32-fast_snid,34.72,0.43
sn2006X-20060421.23-fast_snid,41.57,1.41
sn1996by-19970102.31-fast_snid,9.04,0.19
sn2006X-20060324.34-fast_snid,34.76,0.47
sn2006gz-20061003.13-fast_snid,-1.60,0.20
sn2000cx-20001124.21-fast_snid,193.55,14.24
sn2003it-20031124.13-fast_snid,32.29,0.40
sn2001en-20011014.34-fast_snid,-0.46,0.18
sn2002df-20020604.46-fast_snid,1.35,0.18
sn2001V-20010316.29-fast_snid,11.44,0.32
sn1998es-19981116.25-fast_snid,-5.30,0.27
sn2006lf-20061122.35-fast_snid,26.52,0.64
sn2007kk-20071013.46-fast_snid,0.05,0.17
sn2007al-20070321.33-fast_snid,20.99,0.78
sn2007ca-20070622.18-fast_snid,36.27,0.52
sn2007hj-20070920.28-fast_snid,29.33,0.42
sn1998bp-19980516.44-fast_snid,29.20,0.40
sn1998ec-19980930.50-fast_snid,-1.52,0.17
sn2007ax-20070327.26-fast_snid,-1.72,0.57
sn2001ep-20011204.32-fast_snid,34.91,0.48
sn1999ac-19990419.44-fast_snid,30.18,0.38
snf20080522-011-20080626.11-ldss3_snid,30.45,0.50
sn2007S-20070226.30-fast_snid,15.13,0.49
sn2006bz-20060508.23-fast_snid,-0.02,0.29
sn2003gj-20030704.40-mmt_snid,26.70,0.51
sn2006gr-20061114.11-fast_snid,32.76,0.40
sn2005hk-20051201.20-fast_snid,29.53,0.37
sn2001eh-20010921.35-fast_snid,-1.04,0.14
sn2006X-20060225.36-fast_snid,3.90,0.25
sn2008ar-20080306.40-fast_snid,-2.65,0.17
sn2003fa-20030701.39-fast_snid,18.59,0.64
sn2001ay-20010523.33-fast_snid,31.14,0.43
sn1995al-19951116.51-fast_snid,5.90,0.21
sn2007bm-20070520.17-fast_snid,29.54,0.64
sn2005cf-20050612.36-fast_snid,-2.19,0.17
sn2006eq-20060902.26-fast_snid,2.75,0.18
sn2000O-20000308.45-fast_snid,15.05,0.21
sn2006bm-20060420.27-fast_snid,30.10,1.41
sn2004as-20040317.39-fast_snid,-1.54,0.18
sn2007af-20070515.27-fast_snid,42.91,0.85
sn2005ej-20050925.15-fast_snid,-0.54,0.16
sn2006al-20060225.32-fast_snid,-0.09,0.16
sn1999ej-19991112.27-fast_snid,21.33,0.56
sn2007S-20070225.30-fast_snid,13.04,0.41
sn1998dm-19980913.43-fast_snid,4.06,0.18
sn2007le-20071205.07-fast_snid,34.51,0.55
sn2001bp-20010531.37-fast_snid,29.48,2.23
sn2007sr-20080111.53-fast_snid,32.60,0.43
sn2001V-20010227.33-fast_snid,-3.95,0.36
sn2006lf-20061216.30-fast_snid,38.16,0.55
sn2000fa-20001203.48-fast_snid,-2.20,0.18
sn2006br-20060427.33-fast_snid,-3.11,1.26
sn2007S-20070319.24-fast_snid,31.02,0.37
sn2002H-20020122.55-fast_snid,25.92,0.63
sn2003it-20031024.24-fast_snid,-1.39,0.16
sn2007al-20070320.11-ldss3_snid,14.11,1.12
sn2003fa-20030705.41-mmt_snid,24.56,0.79
sn2008ar-20080407.29-fast_snid,31.09,0.37
sn2001ck-20010629.18-fast_snid,21.41,0.71
sn1998es-19981115.25-fast_snid,-6.35,0.29
sn1994D-19940612.23-mmt_snid,85.99,4.23
sn2006X-20060321.30-fast_snid,33.10,0.48
sn1999gp-20000303.12-fast_snid,34.68,0.50
sn1998dh-19980726.44-fast_snid,-1.44,0.15
sn2006hb-20061022.39-fast_snid,29.83,0.39
sn2001ie-20011217.47-fast_snid,11.43,0.29
sn2005be-20050407.39-fast_snid,4.47,0.18
sn2004da-20040710.44-fast_snid,6.88,0.55
sn2002kf-20030101.39-fast_snid,-1.63,0.16
sn1999by-19990508.15-fast_snid,0.60,0.21
sn2002bt-20020403.39-fast_snid,23.78,0.87
sn2003fa-20030607.34-fast_snid,-3.90,0.36
sn1999dq-19990910.44-fast_snid,-3.66,0.30
sn2007kk-20080111.27-mmt_snid,41.88,1.41
sn2002es-20020906.49-fast_snid,18.70,0.61
sn2001V-20010414.31-fast_snid,32.16,0.47
sn2007co-20070619.45-fast_snid,1.39,0.17
sn2003du-20030705.21-fast_snid,42.80,0.82
sn2002fb-20021005.37-fast_snid,22.23,1.00
sn1999ej-19991030.28-fast_snid,-1.88,0.16
sn2007F-20070225.43-fast_snid,32.24,0.46
sn2002fb-20020929.42-fast_snid,9.32,13.59
sn2005cc-20050628.25-fast_snid,25.84,4.39
sn1999cl-19990621.17-fast_snid,12.93,0.40
sn2001eh-20010922.35-fast_snid,-0.52,0.15
sn2003in-20031003.37-fast_snid,33.83,3.62
sn2003U-20030201.55-fast_snid,-2.08,0.17
sn2006le-20061027.52-fast_snid,-4.85,0.25
sn2004gc-20041208.28-fast_snid,31.11,0.43
sn2002cu-20020518.47-fast_snid,-2.39,0.17
sn2007af-20070615.21-fast_snid,62.53,2.03
sn2002G-20020122.52-fast_snid,-0.75,0.17
sn1999ac-19990409.45-fast_snid,31.07,0.41
sn2006gr-20060924.26-fast_snid,-3.79,0.21
snf20080514-002-20080528.31-fast_snid,-1.12,0.16
sn1997cn-19970611.22-fast_snid,30.35,0.43
sn2001N-20010223.31-fast_snid,20.62,1.99
sn2003ek-20030705.34-mmt_snid,30.28,0.51
sn2007le-20071116.14-fast_snid,26.82,0.62
sn2005ke-20051203.27-fast_snid,19.62,0.93
sn2006hb-20060928.51-fast_snid,0.83,0.17
sn1999dq-19990909.44-fast_snid,-4.14,0.35
sn1994D-19940318.36-fast_snid,-1.91,0.15
sn1998aq-19980419.26-fast_snid,-0.55,0.27
sn2002ck-20020610.26-fast_snid,34.29,0.43
sn2006gz-20060930.13-fast_snid,-1.71,0.23
sn2006cf-20060524.21-fast_snid,0.74,0.16
sn2002cr-20020508.21-fast_snid,-2.00,0.17
sn2003iu-20031026.28-fast_snid,19.05,1.22
sn2006gz-20061019.13-fast_snid,1.67,0.19
sn2006ke-20061021.46-fast_snid,-1.55,0.25
sn2005eq-20051202.28-fast_snid,36.60,0.48
sn2003kf-20040117.23-fast_snid,34.70,0.55
sn1998es-19981210.19-fast_snid,21.03,0.91
sn2007if-20070911.39-fast_snid,5.75,0.67
sn2007co-20070624.36-fast_snid,12.13,0.31
sn2003ek-20030526.35-fast_snid,-2.45,0.38
snf20080720-001-20080729.47-fast_snid,0.04,0.17
sn2002jy-20021227.11-fast_snid,-1.67,0.16
sn2002de-20020611.29-fast_snid,-0.96,0.18
sn2001ep-20011018.43-fast_snid,-0.55,0.16
sn2007ci-20070617.20-fast_snid,27.86,0.42
sn2008ar-20080304.40-fast_snid,-2.61,0.19
sn2001ie-20011221.50-fast_snid,19.02,0.46
sn2003kf-20031221.36-fast_snid,16.42,0.77
sn1995D-19950501.15-fast_snid,46.32,1.07
sn2000cn-20000709.24-fast_snid,30.21,0.35
sn2006ax-20060402.30-fast_snid,-1.12,0.15
sn2007hj-20071009.23-fast_snid,31.75,0.40
sn2004ab-20040224.49-fast_snid,-0.03,0.16
sn2005kc-20051203.17-fast_snid,12.39,0.34
sn2005hf-20051101.22-fast_snid,23.60,1.88
sn2001E-20010124.48-fast_snid,5.36,0.24
sn2006X-20060302.47-fast_snid,11.72,0.24
sn2001ep-20011010.49-fast_snid,-1.53,0.16
sn2003it-20031029.21-fast_snid,0.73,0.18
sn2005cc-20050709.21-fast_snid,35.18,1.77
sn1998V-19980403.49-fast_snid,23.27,0.70
sn2005M-20050202.34-fast_snid,-2.37,0.29
sn1999gd-19991215.46-fast_snid,7.52,0.17
sn1999cc-19990516.34-fast_snid,-1.26,0.16
sn2007bm-20070522.17-fast_snid,31.07,0.52
sn1994D-19940506.28-fast_snid,39.13,0.65
sn2001N-20010122.46-fast_snid,0.05,0.20
sn2005cf-20050531.22-fast_snid,-1.23,0.21
sn2003it-20031025.24-fast_snid,-1.15,0.16
sn2005eq-20051011.39-fast_snid,-1.22,0.17
sn2006gz-20060928.13-fast_snid,-0.89,0.28
sn1994ae-19941204.53-fast_snid,-0.15,0.16
sn2006le-20061030.43-fast_snid,-3.33,0.25
sn2002bz-20020406.36-fast_snid,-0.99,0.15
sn1995D-19950309.29-mmt_snid,25.31,0.76
sn2002hd-20021113.51-fast_snid,31.56,0.50
sn2007ir-20070918.47-fast_snid,5.03,1.75
sn2000dp-20001006.41-fast_snid,-1.13,0.15
sn1998es-19990109.22-fast_snid,34.02,0.41
sn1998dh-19980919.32-fast_snid,36.62,0.52
sn2001G-20010325.27-mmt_snid,37.80,1.06
sn2008Z-20080229.28-fast_snid,6.89,0.23
sn1997cn-19970603.23-fast_snid,27.89,0.40
sn2001V-20010426.29-fast_snid,35.11,0.61
sn2002cu-20020513.46-fast_snid,-1.95,0.18
sn2007co-20070608.35-fast_snid,-2.20,0.17
sn2008Z-20080209.31-fast_snid,-1.84,0.26
sn1994ae-19941207.47-fast_snid,3.03,0.20
sn2003Y-20030201.33-fast_snid,-0.57,0.73
sn2005am-20050316.22-fast_snid,11.12,0.22
sn2006cj-20060528.19-fast_snid,-0.12,0.24
sn2001br-20010521.44-fast_snid,-1.28,0.17
sn2003fa-20030610.34-mmt_snid,-3.19,0.38
sn2004gs-20050117.35-fast_snid,31.77,0.39
sn2005ke-20051208.26-fast_snid,23.30,0.75
sn2002bs-20020505.17-fast_snid,31.51,0.37
sn2006ax-20060323.31-fast_snid,-1.69,0.18
sn2000cx-20001003.35-fast_snid,55.16,2.92
sn2005lu-20051225.17-fast_snid,18.32,0.73
sn2002cc-20020410.19-fast_snid,16.51,1.42
sn2007qe-20071116.11-fast_snid,-3.33,0.19
sn1998es-19981120.26-fast_snid,-2.55,0.32
sn2001G-20010317.18-fast_snid,34.02,0.79
sn2005ke-20051223.21-fast_snid,30.08,0.59
sn1998es-19981126.22-fast_snid,-1.21,0.17
sn2008A-20080214.16-fast_snid,30.40,0.38
snf20080522-011-20080609.26-fast_snid,4.30,0.20
sn1997Y-19970209.41-fast_snid,-0.88,0.15
